,Path_Time,Distance,RT,Sim_Time,PR_acc,Sim_con,Vividness,S_coherence,T_coherence,Fract,Coherence,Length,S_mem,G_mem,Participant
0,52.70978,189.5184533,,10.62157,3.5,3,3.666666667,3,2,3.5,3,3,4,3,1
1,46.7587,240.3714,2.35396,8.3861,3.5,4,3.666666667,3,4,4.5,4,4,5,5,1
2,75.1217,379.3454,3.18654,13.2851,4,4,3.833333333,5,5,3.5,4.25,2,5,3,1
3,25.1596,121.1395,2.90321,6.2526,3.5,5,4.666666667,5,5,5,5,1,5,5,1
4,52.9151,284.116,2.98561,7.6369,4.5,3,3.333333333,4,4,4,4,5,5,1,1
5,27.0688,138.384,2.82062,4.2689,3.5,3,4.5,5,5,4.5,4.75,1,5,5,1
6,39.7877,194.938,4.01982,5.8362,5,4,4,4,4,4,4,4,5,5,1
7,33.7702,178.539,5.32064,4.2023,4,5,4.833333333,5,5,4.5,4.75,1,5,5,1
8,59.9377,297.316,9.56989,3.8874,5,4,4,4,4,4.5,4.25,5,5,5,1
9,43.113,209.186,3.13588,5.7538,5,3,3,4,3,4.5,4,3,5,3,1
0,23.94523,127.4275533,,6.23413,4.5,4,4.166666667,5,5,4.5,4.75,5,5,4,2
1,47.224,224.5184,3.02033,7.91963,4.5,4,4.166666667,4,5,4.5,4.5,3,5,4,2
2,27.713,147.678,1.75336,6.1551,4.5,4,4.5,5,5,4.5,4.75,1,5,5,2
3,23.404,125.8457,2.62062,3.6731,5,5,4.666666667,5,5,5,5,1,5,5,2
4,51.1681,277.0923,3.96998,6.8019,5,5,5,5,5,5,5,4,5,5,2
5,26.8021,134.6218,10.61964,1.4896,5,5,4.5,5,5,4.5,4.75,1,5,5,2
6,36.7658,204.749,2.48625,7.6198,5,5,4.833333333,5,5,4.5,4.75,3,5,5,2
7,38.0016,163.619,2.52068,4.8032,5,5,4.5,5,5,5,5,1,5,5,2
8,53.1232,309.249,2.4699,6.7686,5,5,4.833333333,5,5,5,5,5,5,5,2
9,39.081,211.026,2.93653,5.4863,5,5,4.833333333,5,5,5,5,3,5,5,2
